class,cap_shape,cap_surface,cap_color,odor,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
poisonous,convex,smooth,brown,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,black,scattered,urban
edible,convex,smooth,yellow,almond,close,broad,black,enlarging,club,partial,white,1,pendant,brown,numerous,grasses
edible,bell,smooth,white,anise,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,black,scattered,urban
edible,convex,smooth,gray,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,black,numerous,grasses
edible,bell,smooth,white,almond,close,broad,gray,enlarging,club,partial,white,1,pendant,black,numerous,meadows
edible,bell,scaly,white,anise,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,scattered,meadows
poisonous,convex,scaly,white,pungent,close,narrow,pink,enlarging,equal,partial,white,1,pendant,black,several,grasses
edible,bell,smooth,yellow,almond,close,broad,gray,enlarging,club,partial,white,1,pendant,black,scattered,meadows
edible,convex,scaly,yellow,anise,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,black,scattered,meadows
edible,bell,smooth,yellow,almond,close,broad,white,enlarging,club,partial,white,1,pendant,brown,scattered,grasses
poisonous,convex,scaly,white,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,convex,fibrous,brown,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,sunken,fibrous,gray,none,close,narrow,black,enlarging,equal,partial,white,1,pendant,brown,solitary,urban
edible,flat,fibrous,white,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
poisonous,convex,smooth,brown,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,black,scattered,grasses
poisonous,convex,scaly,white,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,scattered,urban
poisonous,convex,smooth,brown,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,brown,scattered,urban
edible,bell,smooth,yellow,almond,close,broad,black,enlarging,club,partial,white,1,pendant,brown,scattered,meadows
poisonous,convex,scaly,brown,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,several,grasses
edible,bell,scaly,yellow,anise,close,broad,black,enlarging,club,partial,white,1,pendant,brown,scattered,meadows
edible,bell,scaly,white,almond,close,broad,white,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
edible,bell,smooth,white,anise,close,broad,gray,enlarging,club,partial,white,1,pendant,black,scattered,meadows
poisonous,flat,smooth,white,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,several,grasses
edible,convex,scaly,yellow,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
edible,convex,scaly,white,anise,close,broad,white,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,none,close,narrow,black,enlarging,equal,partial,white,1,pendant,black,solitary,urban
edible,convex,smooth,yellow,almond,crowded,narrow,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,bell,smooth,yellow,anise,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,brown,scattered,urban
edible,convex,scaly,yellow,anise,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
edible,convex,scaly,brown,anise,close,broad,pink,enlarging,rooted,partial,white,1,pendant,brown,solitary,paths
edible,bell,scaly,yellow,anise,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,anise,crowded,narrow,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,sunken,fibrous,gray,none,close,narrow,black,enlarging,equal,partial,white,1,pendant,black,several,urban
poisonous,convex,scaly,brown,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,almond,crowded,narrow,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,bell,smooth,yellow,anise,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,meadows
edible,bell,scaly,yellow,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,anise,close,broad,brown,enlarging,rooted,partial,white,1,pendant,black,solitary,paths
edible,convex,fibrous,brown,none,close,narrow,gray,enlarging,equal,partial,white,1,pendant,black,solitary,urban
poisonous,convex,scaly,white,pungent,close,narrow,pink,enlarging,equal,partial,white,1,pendant,brown,several,grasses
edible,convex,smooth,yellow,almond,close,broad,white,enlarging,club,partial,white,1,pendant,black,numerous,meadows
edible,convex,scaly,white,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,anise,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,meadows
edible,convex,smooth,white,anise,close,broad,white,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
edible,convex,scaly,yellow,anise,close,broad,brown,enlarging,rooted,partial,white,1,pendant,brown,scattered,paths
edible,flat,scaly,yellow,anise,close,broad,white,enlarging,rooted,partial,white,1,pendant,black,scattered,paths
edible,convex,scaly,brown,almond,close,broad,white,enlarging,rooted,partial,white,1,pendant,black,scattered,grasses
edible,convex,smooth,white,anise,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,grasses
edible,bell,smooth,white,anise,close,broad,black,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
poisonous,convex,scaly,brown,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,brown,several,urban
poisonous,convex,smooth,white,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,black,several,urban
edible,bell,scaly,yellow,almond,close,broad,white,enlarging,club,partial,white,1,pendant,black,scattered,meadows
edible,flat,fibrous,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,bell,smooth,white,almond,close,broad,white,enlarging,club,partial,white,1,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,anise,close,broad,black,enlarging,club,partial,white,1,pendant,black,numerous,grasses
edible,convex,scaly,brown,almond,close,broad,pink,enlarging,rooted,partial,white,1,pendant,black,solitary,paths
edible,sunken,fibrous,gray,none,close,narrow,black,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,bell,scaly,yellow,almond,close,broad,black,enlarging,club,partial,white,1,pendant,brown,scattered,meadows
edible,bell,smooth,yellow,anise,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,scattered,meadows
edible,bell,scaly,yellow,anise,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
edible,bell,scaly,white,anise,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,scattered,grasses
edible,flat,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,smooth,white,anise,close,broad,brown,enlarging,club,partial,white,1,pendant,black,scattered,grasses
edible,flat,scaly,yellow,almond,close,broad,white,enlarging,rooted,partial,white,1,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,almond,close,broad,white,enlarging,club,partial,white,1,pendant,black,numerous,grasses
edible,convex,fibrous,gray,none,close,narrow,pink,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,flat,fibrous,yellow,anise,crowded,narrow,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,bell,scaly,white,anise,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,scattered,meadows
edible,flat,fibrous,yellow,anise,crowded,narrow,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,brown,almond,close,broad,pink,enlarging,rooted,partial,white,1,pendant,black,scattered,paths
edible,bell,smooth,yellow,almond,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,grasses
edible,flat,smooth,yellow,anise,crowded,narrow,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,smooth,white,anise,crowded,narrow,brown,tapering,bulbous,partial,white,1,pendant,purple,several,woods
edible,flat,scaly,brown,anise,close,broad,pink,enlarging,rooted,partial,white,1,pendant,brown,solitary,paths
poisonous,convex,scaly,brown,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,flat,scaly,brown,almond,close,broad,brown,enlarging,rooted,partial,white,1,pendant,brown,solitary,grasses
edible,convex,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,convex,scaly,white,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,black,scattered,grasses
edible,flat,fibrous,gray,none,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,solitary,urban
edible,convex,fibrous,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,scaly,yellow,anise,close,broad,white,enlarging,rooted,partial,white,1,pendant,black,scattered,grasses
edible,convex,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,bell,smooth,white,almond,close,broad,white,enlarging,club,partial,white,1,pendant,black,scattered,grasses
edible,convex,smooth,white,anise,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,scattered,grasses
edible,flat,scaly,brown,anise,close,broad,white,enlarging,rooted,partial,white,1,pendant,black,solitary,grasses
edible,sunken,fibrous,brown,none,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,convex,fibrous,brown,none,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,solitary,urban
edible,bell,smooth,white,anise,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,grasses
edible,convex,scaly,yellow,almond,close,broad,gray,enlarging,club,partial,white,1,pendant,black,scattered,grasses
edible,convex,scaly,yellow,anise,close,broad,gray,enlarging,club,partial,white,1,pendant,black,numerous,meadows
edible,convex,smooth,brown,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,smooth,white,almond,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,scattered,grasses
edible,flat,scaly,brown,anise,close,broad,pink,enlarging,rooted,partial,white,1,pendant,brown,scattered,grasses
edible,convex,smooth,yellow,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,black,numerous,grasses
edible,bell,smooth,white,almond,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,scattered,grasses